Number,Name,Real_mps,time_s,taken_time,duration,width,height,pairs,aspect,mag_mean_mean,mag_mean_std,mag_mean_med,mag_mean_p90,mag_med_mean,mag_med_std,mag_med_med,mag_med_p90,mag_p75_mean,mag_p75_std,mag_p75_med,mag_p75_p90,mag_p90_mean,mag_p90_std,mag_p90_med,mag_p90_p90,mag_p95_mean,mag_p95_std,mag_p95_med,mag_p95_p90,mag_std_mean,mag_std_std,mag_std_med,mag_std_p90,x_med_mean,x_med_std,x_med_med,x_med_p90,y_med_mean,y_med_std,y_med_med,y_med_p90,xy_ratio_mean,xy_ratio_std,xy_ratio_med,xy_ratio_p90,coherence_mean,coherence_std,coherence_med,coherence_p90,texture_mean,texture_std,texture_med,texture_p90,valid_ratio_mean,valid_ratio_std,valid_ratio_med,valid_ratio_p90,video_path,win_start,win_end,win_len,ok,meta_time_s,meta_log_time_s,meta_arrow,meta_gopro,meta_uas,meta_seeded,meta_unseeded,meta_stabilised,meta_nonstabilised,meta_notstabilised,meta_castor,meta_canada,meta_bradano,meta_alpine,meta_lamorge,meta_lavence,meta_brenta,meta_flir,meta_river,meta_noce,meta_thalhofen,meta_tiber,meta_salmon,meta_stjulien,meta_orthorectified,meta_is_short,meta_is_very_short,meta_is_long
1,Arrow_Gopro_Seeded_notStabilised,0.413,19,,19.8,464,505,9,0.9188118811881189,0.019871121,0.0037098871544003487,0.0212407223880291,0.022046303376555443,0.022574859,0.004367115907371044,0.024108227342367172,0.025034194812178612,0.030930594334171876,0.00561285480301616,0.032683076336979866,0.033777718618512156,0.03467925253013769,0.006031833328392701,0.037001523375511165,0.03741235248744488,0.03645432963967324,0.006363267773105996,0.03861584886908531,0.03933186594396829,0.012335416,0.0021888569463044405,0.013071713969111443,0.013664839789271355,0.03063304,0.00590100884437561,0.031549639999866486,0.035209435224533084,0.008107345,0.0042549846693873405,0.008107583969831467,0.014289980754256248,0.7412389,0.08996021747589111,0.7390340566635132,0.8332942962646485,0.8367718993349805,0.0701912666258832,0.8606254872143124,0.9034305690764654,0.3521580548587708,0.0030185463754497173,0.3530025706571691,0.3550105794270833,0.6725983431634419,0.0004911027508836529,0.6723798961536455,0.6731421081816739,Data\Arrow_Gopro_Seeded_notStabilised.avi,0.0,2.0,2.0,True,19,2.995732273553991,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Arrow_Gopro_Seeded_notStabilised,0.413,19,,19.8,464,505,9,0.9188118811881189,0.02093204,0.0006149585824459791,0.02105754055082798,0.021506236866116524,0.024443738,0.0006874434766359627,0.0243911724537611,0.02523176558315754,0.033150748556686774,0.0006467619925860165,0.0328548951074481,0.0339933130890131,0.036423439242773595,0.0006853122870239639,0.036464983597397804,0.03715914860367775,0.038350053669677836,0.0007048902823442755,0.03852485399693251,0.039172197952866555,0.013400454,0.0003904793120454997,0.013395547866821289,0.013846169039607049,0.03335595,0.001391253317706287,0.03345242142677307,0.03539812341332436,0.0075623924,0.003413893049582839,0.007050978485494852,0.012259593233466148,0.75365716,0.07382271438837051,0.7700737714767456,0.8214513301849365,0.8262531055625365,0.070355847090191,0.8447060223754098,0.8977810976341436,0.35188976279530904,0.0035914938180209187,0.35275911817363664,0.35547740263097427,0.6724818380915505,0.0004786039079947965,0.6722689922871334,0.6727549528658499,Data\Arrow_Gopro_Seeded_notStabilised.avi,1.0,3.0,2.0,True,19,2.995732273553991,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Arrow_Gopro_Seeded_notStabilised,0.413,19,,19.8,464,505,9,0.9188118811881189,0.020745944,0.00041128555312752724,0.020634112879633904,0.021252907067537307,0.02453254,0.0005701303016394377,0.0243911724537611,0.02536604143679142,0.033322207940121494,0.0005399750812910993,0.03329156059771776,0.034016679599881174,0.036537041266759246,0.00045044991550157327,0.03647228628396989,0.036967891156673434,0.03879023626860645,0.0007887439286401786,0.03859466984868049,0.03943183168768883,0.013802355,0.00023301836336031556,0.013792898505926132,0.014095981232821941,0.033803523,0.0008574028615839779,0.03393160551786423,0.03461689427495003,0.006436626,0.0015794886276125908,0.006453345529735088,0.008269131556153298,0.7774372,0.040577664971351624,0.7759082317352295,0.8165760993957519,0.799804324141536,0.07403083326603904,0.8133505739036254,0.8980526479837677,0.3501332767129204,0.003343608204290166,0.34995700611787683,0.35358375698912375,0.6724807178504747,0.0005670566935026163,0.6722689922871334,0.6728033472803279,Data\Arrow_Gopro_Seeded_notStabilised.avi,2.0,4.0,2.0,True,19,2.995732273553991,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Arrow_Gopro_Seeded_notStabilised,0.413,19,,19.8,464,505,9,0.9188118811881189,0.021158315,0.0008881085086613894,0.0212227962911129,0.0220980204641819,0.024882581,0.001156470156274736,0.025243619456887245,0.02605481371283531,0.03351522330194712,0.0008226805576660066,0.03358656167984009,0.034391459077596664,0.037214113399386406,0.0009817393301271324,0.037523157894611366,0.038464478254318236,0.039670617692172526,0.00112401727913746,0.04011306278407574,0.040929099172353746,0.013898815,0.00034798390697687864,0.01401582546532154,0.014186894707381725,0.034132008,0.001211878377944231,0.03430163487792015,0.03546838760375977,0.0073681464,0.0016550557920709252,0.007000562269240618,0.008760142512619496,0.7712386,0.033159710466861725,0.7728074193000793,0.8003371715545654,0.8090490176235173,0.09756413302367364,0.7781823210254507,0.916423328552655,0.3520576759620949,0.003893899063558039,0.3515637865253523,0.35638562969132964,0.6727462149854582,0.0005983597591962813,0.6724504713414259,0.6734970005545126,Data\Arrow_Gopro_Seeded_notStabilised.avi,3.0,5.0,2.0,True,19,2.995732273553991,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Arrow_Gopro_Seeded_notStabilised,0.413,19,,19.8,464,505,9,0.9188118811881189,0.021503164,0.0010219219839200377,0.02143951877951622,0.022780611738562585,0.025292175,0.001439194194972515,0.025243619456887245,0.027002768218517305,0.033820760953757495,0.0011298645734242668,0.0339669156819582,0.0351577015593648,0.03753644372853968,0.0012071292951509366,0.037775956094264984,0.03893786326050759,0.03971426952630281,0.0012948758331212003,0.04011306278407574,0.041186987645924086,0.0138621945,0.00042286457028239965,0.014005030505359173,0.014238235168159008,0.03491549,0.0017117200186476111,0.03457743301987648,0.037102832645177844,0.007865738,0.0016070440178737044,0.007987802848219872,0.009713521040976048,0.77042365,0.03483099117875099,0.7670273780822754,0.8090677738189698,0.8199244233751902,0.11378621530400247,0.8983123232671687,0.9261116396699667,0.35429540895948225,0.003581576378565457,0.3551155239928002,0.35730818206188725,0.6725725776186967,0.0004120538453309132,0.6724605535111088,0.6731400917477373,Data\Arrow_Gopro_Seeded_notStabilised.avi,4.0,6.0,2.0,True,19,2.995732273553991,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Arrow_Gopro_Seeded_notStabilised,0.413,19,,19.8,464,505,9,0.9188118811881189,0.02219643,0.0012303745606914163,0.022550353780388832,0.023335064947605132,0.02653212,0.0015594415599480271,0.02692849189043045,0.028082523494958878,0.03444379516359833,0.0013586500395022596,0.034772828221321106,0.03572498187422753,0.03842015552024046,0.0015046060730364917,0.03885161243379117,0.04028766863048077,0.0405271016061306,0.0015892115872917654,0.0410450629889965,0.04202873241156339,0.014123048,0.0004187321464996785,0.01411497313529253,0.014512129500508309,0.036970563,0.0020604401361197233,0.036824196577072144,0.03919835239648819,0.007561908,0.0008422483806498349,0.007542043458670378,0.00839775800704956,0.7818813,0.019130883738398552,0.788615345954895,0.8019134163856506,0.8080294899808431,0.13107523626876647,0.8720162033110118,0.9412105003874156,0.3546371293743192,0.003590856780234986,0.3546674840590533,0.35881481694240197,0.6724191045913013,0.00023522395201592595,0.6724303070020601,0.6727408378282939,Data\Arrow_Gopro_Seeded_notStabilised.avi,5.0,7.0,2.0,True,19,2.995732273553991,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Arrow_Gopro_Seeded_notStabilised,0.413,19,,19.8,464,505,9,0.9188118811881189,0.022976786,0.0016743571031838655,0.02251894399523735,0.025300643220543862,0.027254539,0.0020881996024399996,0.026771405711770058,0.029854092001914977,0.03479421945909659,0.0017586172699147256,0.03406013362109661,0.03718684446066618,0.03887008383042283,0.0017590295322883523,0.03827165886759758,0.04142138704657555,0.041026759892702096,0.0018868230229035345,0.0410450629889965,0.04315795250236988,0.013971951,0.00046473683323711157,0.014022503048181534,0.014424840733408929,0.037690863,0.003002121578902006,0.03744970262050629,0.04160523265600204,0.008528803,0.001655916916206479,0.008098277263343334,0.011064466089010239,0.77278495,0.02537022903561592,0.7752155661582947,0.8001083493232727,0.8036752058636443,0.12977229622956016,0.7590079699575303,0.9665738450012886,0.35426305301308886,0.0038308032815801,0.3568655275831036,0.35820324467677694,0.6723126816890928,0.00023123143501901173,0.6722084992690359,0.6726279175278452,Data\Arrow_Gopro_Seeded_notStabilised.avi,6.0,8.0,2.0,True,19,2.995732273553991,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Arrow_Gopro_Seeded_notStabilised,0.413,19,,19.8,464,505,9,0.9188118811881189,0.02359974,0.0019008845556527376,0.024168705567717552,0.02591446675360203,0.027706338,0.002525635063648224,0.02807008847594261,0.030834658443927764,0.03487445258845886,0.0022728708230248056,0.035562390461564064,0.037309633754193786,0.039011378669076495,0.0021697258839415198,0.039876478165388106,0.04142138704657555,0.0407409930601716,0.002198687100150898,0.041524082049727434,0.04315795250236988,0.01361728,0.0006605219095945358,0.013769445940852165,0.014242010191082954,0.03844728,0.003510762471705675,0.039891161024570465,0.04196965545415878,0.008385981,0.0019634224008768797,0.0073335920460522175,0.011064466089010239,0.7770454,0.030911885201931,0.7790527939796448,0.8151269793510437,0.8257846877565451,0.13367858601285784,0.8370715717171441,0.9665738450012886,0.35538770555151317,0.003628405665341131,0.3562327366249234,0.3588244389552696,0.6725400906274963,0.0004468231476906732,0.6722790744568163,0.6730009578061131,Data\Arrow_Gopro_Seeded_notStabilised.avi,7.0,9.0,2.0,True,19,2.995732273553991,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Arrow_Gopro_Seeded_notStabilised,0.413,19,,19.8,464,505,9,0.9188118811881189,0.02369166,0.0017169421771541238,0.02425219491124153,0.025587213411927223,0.027837267,0.002430389868095517,0.02908077836036682,0.030598443746566773,0.03504475288920932,0.0021673570570915185,0.03608199208974838,0.03730338886380195,0.03884298904902405,0.0018767722175007128,0.039135511964559555,0.04091168977320194,0.0404564495301909,0.0017698610815636525,0.04085262976586819,0.042345244102180005,0.013614746,0.0006166609236970544,0.014004252851009369,0.014191184751689434,0.038508847,0.003219071077182889,0.039662983268499374,0.041919908672571185,0.008561124,0.001510209054686129,0.008439810015261173,0.010464155115187168,0.7741039,0.0288101714104414,0.7677482962608337,0.8151604652404785,0.8346202530183277,0.13903553044041225,0.9448812313446963,0.9630778022657065,0.35685972658377585,0.0019114525630218012,0.3562327366249234,0.3597101907169118,0.6725468120739515,0.00038900603230578094,0.6724706356807917,0.6729545798255717,Data\Arrow_Gopro_Seeded_notStabilised.avi,8.0,10.0,2.0,True,19,2.995732273553991,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Arrow_Gopro_Seeded_notStabilised,0.413,19,,19.8,464,505,9,0.9188118811881189,0.024095096,0.0011488157324492931,0.024089962244033813,0.02542157955467701,0.028644033,0.0016441313782706857,0.028931714594364166,0.030336116999387742,0.03546572931938701,0.001409560452603897,0.035867393016815186,0.03722739890217781,0.03912210427224636,0.0012102223057123556,0.03922843039035797,0.04072721645236015,0.0408647936458389,0.0012349446158673354,0.0411294050514698,0.04220950841903687,0.013794216,0.00041777026490308344,0.013648384250700474,0.014273308217525482,0.039289817,0.0026715463027358055,0.040267154574394226,0.042204555869102475,0.008582491,0.002646043663844466,0.007584891282021999,0.011574073508381844,0.76885724,0.057399965822696686,0.7925288677215576,0.8274814128875733,0.8419280393677782,0.09909790449393992,0.8234922808078486,0.9646997240081213,0.3594568024014076,0.004193380492026316,0.3593944773954504,0.36477133956609986,0.6725378501453445,0.0004299099364607662,0.6723698139839626,0.6730191057115423,Data\Arrow_Gopro_Seeded_notStabilised.avi,9.0,11.0,2.0,True,19,2.995732273553991,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
